title                                                                                                                        datetime                     link                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
Nine Killed in Central Seoul After Car Plows Into Pedestrians                                                                2024-07-01 13:13:03.090418   news.google.com/articles/CBMiR2h0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjQvMDcvMDEvd29ybGQvYXNpYS9zZW91bC1rb3JlYS1hY2NpZGVudC5odG1s0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                                                                               
What Are ‘Dumping Tours’ and Why Is South Korea Cracking Down on Them?                                                       2024-07-02 13:13:03.038280   news.google.com/articles/CBMiYWh0dHBzOi8vc2tpZnQuY29tLzIwMjQvMDcvMDIvd2hhdC1hcmUtZHVtcGluZy10b3Vycy1hbmQtd2h5LWlzLXNvdXRoLWtvcmVhLWNyYWNraW5nLWRvd24tb24tdGhlbS_SAWVodHRwczovL3NraWZ0LmNvbS8yMDI0LzA3LzAyL3doYXQtYXJlLWR1bXBpbmctdG91cnMtYW5kLXdoeS1pcy1zb3V0aC1rb3JlYS1jcmFja2luZy1kb3duLW9uLXRoZW0vYW1wLw?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                     
Driver whose car struck pedestrians in South Korea will face accidental homicide investigation                               2024-07-02 13:13:03.038280   news.google.com/articles/CBMiVGh0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL3NvdXRoLWtvcmVhLWNhci1hY2NpZGVudC04OGQ2NjU0OGIzZWUxNzdmOWZkOGFlNzQ1NGI5MDljYtIBAA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                                                             
North Korea claims ballistic missile test with ‘superlarge warhead’                                                          2024-07-02 13:13:03.038280   news.google.com/articles/CBMiaWh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vbmV3cy8yMDI0LzcvMi9ub3J0aC1rb3JlYS1jbGFpbXMtYmFsbGlzdGljLW1pc3NpbGUtdGVzdC13aXRoLXN1cGVybGFyZ2Utd2FyaGVhZNIBbWh0dHBzOi8vd3d3LmFsamF6ZWVyYS5jb20vYW1wL25ld3MvMjAyNC83LzIvbm9ydGgta29yZWEtY2xhaW1zLWJhbGxpc3RpYy1taXNzaWxlLXRlc3Qtd2l0aC1zdXBlcmxhcmdlLXdhcmhlYWQ?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                
Jollibee Foods to take control of S.Korea's Compose Coffee in $340 mln deal                                                  2024-07-02 13:13:03.052087   news.google.com/articles/CBMicWh0dHBzOi8vd3d3LnJldXRlcnMuY29tL21hcmtldHMvZGVhbHMvam9sbGliZWUtZm9vZHMtdGFrZS1jb250cm9sLXNrb3JlYXMtY29tcG9zZS1jb2ZmZWUtMzQwLW1sbi1kZWFsLTIwMjQtMDctMDIv0gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                       
South Korean president announces tax breaks for companies that raise shareholder returns                                     2024-07-02 13:13:03.055858   news.google.com/articles/CBMibWh0dHBzOi8vd3d3LmNuYmMuY29tLzIwMjQvMDcvMDMvc291dGgta29yZWEtcmV2ZWFscy10YXgtY3V0cy1mb3ItY29tcGFuaWVzLXN1cHBvcnQtZm9yLXNtYWxsLWJ1c2luZXNzZXMtLmh0bWzSAXFodHRwczovL3d3dy5jbmJjLmNvbS9hbXAvMjAyNC8wNy8wMy9zb3V0aC1rb3JlYS1yZXZlYWxzLXRheC1jdXRzLWZvci1jb21wYW5pZXMtc3VwcG9ydC1mb3Itc21hbGwtYnVzaW5lc3Nlcy0uaHRtbA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                     
North Korea says it has tested new ballistic missile capable of carrying ‘super-large warhead'                               2024-07-02 13:13:03.058362   news.google.com/articles/CBMigwFodHRwczovL3d3dy52b2FuZXdzLmNvbS9hL25vcnRoLWtvcmVhLXNheXMtaXQtaGFzLXRlc3RlZC1uZXctYmFsbGlzdGljLW1pc3NpbGUtY2FwYWJsZS1vZi1jYXJyeWluZy1zdXBlci1sYXJnZS13YXJoZWFkLzc2ODE4MzcuaHRtbNIBhQFodHRwczovL3d3dy52b2FuZXdzLmNvbS9hbXAvbm9ydGgta29yZWEtc2F5cy1pdC1oYXMtdGVzdGVkLW5ldy1iYWxsaXN0aWMtbWlzc2lsZS1jYXBhYmxlLW9mLWNhcnJ5aW5nLXN1cGVyLWxhcmdlLXdhcmhlYWQvNzY4MTgzNy5odG1s?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                           
North Korea claims test of ballistic missile capable of carrying a huge warhead                                              2024-07-02 13:13:03.058362   news.google.com/articles/CBMiWGh0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL25vcnRoLWtvcmVhLW5ldy1taXNzaWxlLXRlc3QtMzQ0NDZkN2Y2OWQ0M2Y1ODg4YzBmYzYxMWJhZTA0OGXSAQA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                                                        
Plant Protection Today: South Korea Grants Market Access to Texas Grapefruit | Animal and Plant Health Inspection ...        2024-07-02 13:13:03.058362   news.google.com/articles/CBMid2h0dHBzOi8vd3d3LmFwaGlzLnVzZGEuZ292L25ld3MvcHJvZ3JhbS11cGRhdGUvcGxhbnQtcHJvdGVjdGlvbi10b2RheS1zb3V0aC1rb3JlYS1ncmFudHMtbWFya2V0LWFjY2Vzcy10ZXhhcy1ncmFwZWZydWl00gEA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                               
South Korea Climate Action: A Moment for Elevated Ambition                                                                   2024-07-02 13:13:03.058362   news.google.com/articles/CBMiY2h0dHBzOi8vd3d3LmFtZXJpY2FucHJvZ3Jlc3Mub3JnL2FydGljbGUvc291dGgta29yZWEtY2xpbWF0ZS1hY3Rpb24tYS1tb21lbnQtZm9yLWVsZXZhdGVkLWFtYml0aW9uL9IBAA?hl=en-CA&gl=CA&ceid=CA%3Aen                                                                                                                                                                                                                                                                                                                                                                                         
